state_ut_name,district,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual,jan-feb,mar-may,jun-sep,oct-dec,mean_rainfall,std_rainfall,recharge_index,predicted_recharge
ASSAM,NORTH CACHAR,16.7,47.5,158.9,207.9,308.0,328.1,270.3,201.3,189.1,196.4,42.1,11.2,1977.5,64.2,674.8,988.8,249.7,348.97058823529414,487.54001215888155,0.2735396234766852,0.2715899649113104
ASSAM,NAGAON,12.0,22.5,48.1,128.9,171.3,285.9,326.3,294.1,218.6,120.0,21.6,10.8,1660.1,34.5,348.3,1124.9,152.4,292.95882352941175,439.7751784418141,0.2296349577414134,0.2298393574297179
ASSAM,SIVASAGAR,20.1,33.2,78.3,126.5,257.1,255.5,374.8,342.3,196.9,96.3,20.3,10.3,1811.6,53.3,461.9,1169.5,126.9,319.69411764705876,474.715256062237,0.250591343560234,0.25041073594031577
ASSAM,BARPETA,10.3,26.9,54.0,175.7,391.5,694.3,757.3,527.3,462.1,142.1,20.4,12.7,3274.6,37.2,621.2,2441.0,175.2,577.8705882352941,907.5504522922581,0.4529622508403303,0.4533362381788918
ASSAM,DHUBRI,10.3,11.7,46.6,147.5,391.6,603.0,554.7,418.7,340.1,155.1,19.2,4.1,2702.6,22.0,585.7,1916.5,178.4,476.9294117647058,735.2621715795545,0.3738397908511197,0.37549933372986827
ASSAM,DIBRUGARH,30.6,53.1,119.8,229.9,292.4,401.0,519.4,405.1,325.9,136.9,24.0,18.5,2556.6,83.7,642.1,1651.4,179.4,451.1647058823529,667.620716557291,0.35364419791681073,0.3537094416702391
ASSAM,JORHAT,22.2,36.7,80.1,204.6,277.4,288.8,390.7,346.9,272.7,121.7,25.6,15.6,2083.0,58.9,562.1,1299.1,162.9,367.5882352941176,539.0377455271024,0.2881330142614084,0.2877800524716551
ASSAM,KARIMGANJ,13.2,35.2,169.7,340.4,604.0,645.2,646.0,438.0,418.7,240.4,86.8,13.2,3650.8,48.4,1114.1,2147.9,340.4,644.2588235294118,936.1564085789988,0.5050004841409265,0.49538097280050286
ASSAM,KOKRAJHAR,10.9,27.9,45.8,216.4,461.1,822.2,864.2,677.1,462.9,159.5,18.1,6.1,3772.2,38.8,723.3,2826.4,183.7,665.6823529411765,1049.61362845769,0.5217932579917834,0.5168729107013612
ASSAM,SHONITPUR,19.4,23.1,50.0,144.3,284.1,363.1,384.2,337.9,229.2,109.7,20.9,12.6,1978.5,42.5,478.4,1314.4,143.2,349.14705882352933,523.4895845640664,0.27367794945568724,0.27359334006519814
ASSAM,GOLAGHAT,16.9,29.5,65.2,135.9,245.6,254.2,314.7,271.4,209.3,103.7,19.6,14.7,1680.7,46.4,446.7,1049.6,138.0,296.59411764705885,435.0546294297249,0.23248447290885704,0.23183235813518124
ASSAM,TINSUKIA,26.6,58.4,131.2,215.9,272.7,388.3,515.3,387.2,327.0,118.7,25.1,18.9,2485.3,85.0,619.8,1617.8,162.7,438.5823529411765,650.5942228410253,0.3437815556139599,0.34377818968180324
ASSAM,HAILAKANDI,7.3,42.0,123.8,239.0,416.2,470.4,426.8,406.9,317.0,150.6,36.5,9.1,2645.6,49.3,779.0,1621.1,196.2,466.870588235294,685.1343670812918,0.365955210047999,0.3662721148658932
ASSAM,DHEMAJI(LAKHI,27.7,48.6,76.7,165.5,331.9,528.3,605.2,467.6,424.1,140.3,23.0,20.4,2859.3,76.3,574.1,2025.2,183.7,504.58235294117657,771.7269799249717,0.39551547176075147,0.3951568847145164
ASSAM,KARBI ANGLONG,12.8,24.1,53.8,106.3,139.4,224.9,238.7,220.5,182.9,100.1,26.3,11.2,1341.0,36.9,299.5,867.0,137.6,236.64705882352942,348.45849307637604,0.18549513784183808,0.18549398512534684
ASSAM,UDALGURI(DARA,13.1,21.4,53.5,168.8,320.0,419.7,345.8,272.1,221.5,95.4,17.2,9.3,1957.8,34.5,542.3,1259.1,121.9,345.49411764705883,516.1106221908586,0.2708146016903435,0.27190198221128026
ASSAM,KAMRUP METROP,12.0,20.8,58.6,151.7,293.4,365.5,345.1,248.7,188.4,106.6,15.1,7.5,1813.4,32.8,503.7,1147.7,129.2,320.01176470588234,475.0641007831903,0.25084033032243785,0.25073999787900125
ASSAM,CHIRANG(BONGAI,10.0,31.2,57.5,183.4,442.0,626.3,776.6,486.8,406.4,168.2,18.7,11.6,3218.7,41.2,682.9,2296.1,198.5,568.0058823529411,877.2999981980139,0.4452298286141119,0.44791077052181305
ASSAM,BAKSA BARPETA,10.3,26.9,54.0,175.7,391.5,694.3,757.3,527.3,462.1,142.1,20.4,12.7,3274.6,37.2,621.2,2441.0,175.2,577.8705882352941,907.5504522922581,0.4529622508403303,0.4533362381788918
ASSAM,BONGAIGAON,10.0,31.2,57.5,183.4,442.0,626.3,776.6,486.8,406.4,168.2,18.7,11.6,3218.7,41.2,682.9,2296.1,198.5,568.0058823529411,877.2999981980139,0.4452298286141119,0.44791077052181305
ASSAM,MORIGAON,18.7,24.4,51.6,116.8,169.1,310.1,374.8,309.2,221.4,119.3,19.9,8.2,1743.5,43.1,337.5,1215.5,147.4,307.6764705882353,466.85258584671533,0.24117134439018992,0.23808976433863985
ASSAM,NALBARI,14.9,18.6,56.7,184.6,380.7,551.2,470.9,322.0,220.2,110.4,21.6,4.8,2356.6,33.5,622.0,1564.3,136.8,415.8705882352941,629.5041310077976,0.3259790021163875,0.32649302145435927
MEGHALAYA,EAST KHASI HI,15.4,24.1,129.7,312.5,733.7,1476.2,1518.4,1019.4,607.8,277.9,40.3,10.7,6166.1,39.5,1175.9,4621.8,328.9,1088.1352941176472,1720.674446235101,0.85293181912495,0.8279001194214324
MEGHALAYA,JAINTIA HILLS,33.8,44.1,115.1,282.3,598.8,1316.1,1591.3,933.8,826.3,517.7,110.9,9.7,6379.9,77.9,996.2,4667.5,638.3,1125.864705882353,1748.2130608642844,0.8825059134356025,0.840518399660644
MEGHALAYA,EAST GARO HIL,5.6,16.0,64.0,244.4,352.2,531.1,465.8,358.9,315.7,154.1,35.8,10.8,2554.4,21.6,660.6,1671.5,200.7,450.7764705882353,674.6498152091682,0.35333988076300615,0.3534564895633045
MEGHALAYA,RI-BHOI,16.2,15.1,55.8,117.1,273.3,340.5,425.6,400.2,313.2,125.4,25.7,8.8,2116.9,31.3,446.2,1479.5,159.9,373.5705882352941,569.3853942681375,0.2928222649495802,0.2932280211546531
MEGHALAYA,SOUTH GARO HI,6.8,10.7,48.7,180.9,350.0,492.6,476.4,385.2,327.3,155.7,16.1,9.4,2459.8,17.5,579.6,1681.5,181.2,434.0823529411765,659.1343833347778,0.34025424314940594,0.34039800995024694
MEGHALAYA,W KHASI HILL,19.7,31.1,61.3,160.5,352.3,651.5,1050.3,607.9,465.3,192.5,32.1,18.5,3643.0,50.8,574.1,2775.0,243.1,642.8823529411766,1019.9365208404479,0.5039215415047101,0.49832459574232785
MEGHALAYA,WEST GARO HIL,6.8,10.7,48.7,180.9,350.0,492.6,476.4,385.2,327.3,155.7,16.1,9.4,2459.8,17.5,579.6,1681.5,181.2,434.0823529411765,659.1343833347778,0.34025424314940594,0.34039800995024694
MANIPUR,IMPHAL EAST,13.5,34.3,84.5,145.5,208.9,370.7,324.0,280.4,189.1,144.0,36.1,8.2,1839.2,47.8,438.9,1164.2,188.3,324.56470588235294,476.2987087180382,0.25440914058069247,0.25358075240110767
MANIPUR,SENAPATI,13.3,29.9,47.5,124.7,198.4,368.2,366.1,326.6,220.1,156.0,57.0,14.8,1922.6,43.2,370.6,1281.0,227.8,339.2823529411765,505.11745569136457,0.265945527229469,0.2686342615006524
MANIPUR,TAMENGLONG,48.5,229.6,224.5,431.5,539.9,1158.7,1820.9,1522.1,726.3,376.1,144.0,7.2,7229.3,278.1,1195.9,5228.0,527.3,1275.7588235294118,1967.862879197514,1.0,0.840518399660644
MANIPUR,CHANDEL,8.5,27.9,36.3,77.9,179.0,609.9,540.3,490.9,366.0,254.9,48.3,7.6,2647.5,36.4,293.2,2007.1,310.8,467.2058823529411,735.5820446002167,0.3662180294081031,0.36859682126900256
MANIPUR,UKHRUL,14.5,36.1,56.9,76.6,122.2,348.3,296.8,243.3,169.1,122.7,49.4,13.1,1549.0,50.6,255.7,1057.5,185.2,273.35294117647055,410.0373140301488,0.21426694147427824,0.2138206096486981
MANIPUR,THOUBAL,15.3,26.2,43.1,96.2,140.1,333.0,181.7,212.1,106.8,94.6,27.9,9.3,1286.3,41.5,279.4,833.6,131.8,226.9941176470588,336.5670521430095,0.1779287067904223,0.1782732306954575
MANIPUR,BISHNUPUR,54.5,50.0,112.4,108.1,159.3,435.6,310.4,368.9,219.4,237.0,56.9,15.0,2127.5,104.5,379.8,1334.3,308.9,375.44117647058823,544.6365612254923,0.2942885203270026,0.2943249461681392
MANIPUR,IMPHAL WEST,22.3,31.0,63.8,109.1,134.6,337.3,234.7,239.3,160.5,144.5,34.3,19.5,1530.9,53.3,307.5,971.8,198.3,270.1588235294118,394.8003816152277,0.21176324125434,0.21190580923003208
MANIPUR,CHURACHANDPUR,13.0,31.1,72.7,187.3,238.0,422.1,407.6,382.6,348.3,173.2,50.1,11.4,2337.4,44.1,498.0,1560.6,234.7,412.4823529411765,615.1383017615775,0.32332314331954687,0.3243784783220129
MIZORAM,AIZAWL,13.8,31.2,107.9,185.8,351.4,467.7,448.7,480.7,390.9,254.5,65.3,16.5,2814.4,45.0,645.1,1788.0,336.3,496.6588235294118,728.8580555043138,0.38930463530355636,0.389450476994085
MIZORAM,CHAMPHAI,13.4,21.8,83.0,122.7,261.5,350.5,369.3,336.6,296.1,226.7,64.5,22.5,2168.6,35.2,467.2,1352.5,313.7,382.69411764705876,557.198440269026,0.29997371806398954,0.29639660824699443
MIZORAM,KOLASIB,13.4,40.0,131.6,183.5,316.4,437.6,431.9,453.2,369.8,219.8,49.9,12.9,2660.0,53.4,631.5,1692.5,282.6,469.4117647058824,689.1923886716547,0.3679471041456296,0.36749344104316173
MIZORAM,LUNGLEI,5.5,21.8,88.0,119.3,310.3,459.4,514.6,481.7,410.6,245.4,65.9,8.6,2731.1,27.3,517.6,1866.3,319.9,481.9588235294118,725.6047262963006,0.3777820812526801,0.378063989597886
MIZORAM,CHHIMTUIPUI,13.8,31.2,107.9,185.8,351.4,467.7,448.7,480.7,390.9,254.5,65.3,16.5,2814.4,45.0,645.1,1788.0,336.3,496.6588235294118,728.8580555043138,0.38930463530355636,0.389450476994085
MIZORAM,LAWNGTLAI,8.3,27.5,66.7,122.9,319.8,437.2,493.9,408.8,365.8,231.5,66.0,9.2,2557.6,35.8,509.4,1705.7,306.7,451.3411764705882,673.5728459665884,0.35378252389581283,0.35376541758307745
